gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
AC186404.3_FG002,0.032675304,-0.062615076,0.127345089,-0.491696044,0.622934235,NA
AC186406.4_FG006,0.862496211,0.049533224,0.209623927,0.236295659,0.813203256,NA
AC186408.5_FG005,0,NA,NA,NA,NA,NA
AC186412.4_FG011,0.026204442,0.07138026,0.127345089,0.560526213,0.575120565,NA
AC186417.3_FG004,4.593018781,-0.341604985,0.403558346,-0.84648227,0.397283761,0.803219689
AC186417.3_FG006,0.17121862,0.033945338,0.154430642,0.219809599,0.826019443,NA
AC186424.4_FG009,0,NA,NA,NA,NA,NA
AC186431.5_FG001,0.076110146,-0.127183822,0.129590212,-0.981430771,0.326380358,NA
AC186433.4_FG001,0.273085275,0.163242812,0.148339544,1.100467266,0.271128584,NA
AC186493.4_FG002,0.115257919,0.073811802,0.129087655,0.571795978,0.567460203,NA
AC186500.3_FG001,0,NA,NA,NA,NA,NA
AC186506.3_FG001,0.03535821,0.003814255,0.127345089,0.02995212,0.976105239,NA
AC186512.3_FG007,0.190305402,-0.121211452,0.160816402,-0.753725682,0.451013957,NA
AC186519.4_FG002,0.051365775,0.003814255,0.127345089,0.02995212,0.976105239,NA
AC186524.3_FG005,0.635980649,-0.066749815,0.263106573,-0.253698775,0.799728281,NA
AC186524.3_FG006,0.159653539,0.057981735,0.158006872,0.366957047,0.713651057,NA
AC186563.4_FG004,0.041735647,0.003814255,0.127345089,0.02995212,0.976105239,NA
AC186577.3_FG006,2.262106571,-0.532403819,0.390435763,-1.363614378,0.172688965,NA
AC186579.3_FG007,0.077778933,0.051716162,0.129885123,0.398168482,0.690505997,NA
AC186581.3_FG003,0.064665248,0.067816026,0.128736442,0.526781888,0.598345062,NA
AC186583.3_FG004,0.079899708,0.070974546,0.127345089,0.557340272,0.577294965,NA
AC186585.4_FG002,0.036562556,-0.063095837,0.1273708,-0.495371284,0.620338061,NA
AC186590.3_FG005,0,NA,NA,NA,NA,NA
AC186590.3_FG006,0,NA,NA,NA,NA,NA
AC186592.3_FG002,0.084257823,0.007493387,0.129032583,0.058073606,0.953689998,NA
AC186592.3_FG003,0.271408743,0.149573776,0.173555808,0.861819477,0.388786865,NA
AC186602.4_FG003,2.005132021,0.37212573,0.311696742,1.193871092,0.232528397,NA
AC186603.6_FG003,17.50048904,-0.230533788,0.362788297,-0.635449903,0.52513503,0.865757603
AC186606.4_FG003,2.171387036,-0.446438618,0.402379158,-1.109497371,0.267215678,NA
AC186611.4_FG005,0,NA,NA,NA,NA,NA
AC186613.4_FG003,0.050740097,-0.101208789,0.12806671,-0.790281789,0.42936322,NA
AC186619.3_FG001,0,NA,NA,NA,NA,NA
AC186647.3_FG001,0,NA,NA,NA,NA,NA
AC186653.4_FG005,0,NA,NA,NA,NA,NA
AC186656.4_FG004,0.031937703,0.070974546,0.127345089,0.557340272,0.577294965,NA
AC186656.4_FG012,0.079236997,-0.060583315,0.129176052,-0.46899804,0.639071037,NA
AC186663.3_FG006,0,NA,NA,NA,NA,NA
AC186667.3_FG007,0.095661537,0.14150749,0.129615715,1.091746399,0.274944585,NA
AC186669.3_FG002,0.845796501,-0.300011045,0.298134939,-1.006292811,NA,NA
AC186684.4_FG001,3.679193836,0.06376957,0.404330754,0.157716349,0.874680317,0.974307316
AC186691.4_FG006,0.036441918,0.004219969,0.127345089,0.033138062,0.973564491,NA
AC186743.4_FG003,0.252541091,0.046941591,0.139304673,0.336970687,0.736138998,NA
AC186781.4_FG006,0.184879846,0.101661378,0.13680217,0.74312694,0.457404831,NA
AC186782.4_FG003,0.109769161,-0.04318316,0.131558462,-0.328243116,0.74272785,NA
AC186785.4_FG002,0.106074631,0.006299802,0.130445738,0.048294426,0.961481597,NA
AC186789.4_FG001,0,NA,NA,NA,NA,NA
AC186800.3_FG005,0,NA,NA,NA,NA,NA
AC186807.4_FG002,0,NA,NA,NA,NA,NA
AC186815.3_FG003,12.50734193,0.024357222,0.231617952,0.1051612,0.916247898,0.982984235
AC186828.3_FG001,0.154367047,0.046491339,0.134656295,0.345259309,0.729899435,NA
AC186845.4_FG009,0,NA,NA,NA,NA,NA
AC186897.4_FG016,0.209200612,-0.108619288,0.159251323,-0.682062072,0.495199702,NA
AC186902.4_FG006,0.09076681,0.007353743,0.128916708,0.057042587,0.954511271,NA
AC186902.4_FG009,0.060728259,-0.045745181,0.128389869,-0.356298993,0.721616663,NA
AC186904.4_FG007,0.043878787,-0.062615076,0.127345089,-0.491696044,0.622934235,NA
AC186905.3_FG013,0,NA,NA,NA,NA,NA
AC187037.4_FG008,0.444156315,0.042443131,0.284287871,0.149296311,0.881319826,NA
AC187046.3_FG009,0,NA,NA,NA,NA,NA
AC187056.3_FG002,0,NA,NA,NA,NA,NA
AC187065.3_FG003,0.269632881,-0.087085065,0.144317242,-0.603428002,0.546223999,NA
