gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
AC193598.3_FG002,8.866120173,-2.756464984,0.924087778,-2.982903842,0.002855277,0.018119528
AC193606.2_FG001,0,NA,NA,NA,NA,NA
AC193606.2_FG005,0,NA,NA,NA,NA,NA
AC193625.3_FG008,0,NA,NA,NA,NA,NA
AC193625.3_FG010,1.941925363,-2.153220451,0.877855848,-2.452817803,0.014174211,0.062662453
AC193630.3_FG003,1.274562062,-0.995985051,0.89967112,-1.107054598,0.268270323,NA
AC193630.3_FG004,2.783908632,-1.142242523,0.953995189,-1.197325244,0.231179809,0.454362757
AC193632.2_FG002,215.9368954,0.213993452,0.457580738,0.467662719,0.640025805,0.816800687
AC193645.3_FG006,0,NA,NA,NA,NA,NA
AC193646.3_FG002,0.098017472,-0.004881415,0.531784293,-0.009179314,0.99267607,NA
AC193658.3_FG001,3.539299714,-0.781235548,0.95551591,-0.817606006,0.413582197,0.645095524
AC193668.3_FG009,0.801664276,-0.662187839,0.809554187,-0.817966049,0.413376574,NA
AC193744.3_FG009,0,NA,NA,NA,NA,NA
AC193745.3_FG002,0.171998815,0.524889361,0.550828746,0.952908439,0.340636464,NA
AC193745.3_FG003,0.530353427,0.744420778,0.672095651,1.107611361,0.268029695,NA
AC193754.3_FG005,0.093763137,0.432298225,0.537827101,0.803786615,0.421520221,NA
AC193754.3_FG008,14.52995738,-1.301204177,0.800086311,-1.626329758,0.103879525,0.267321698
AC193756.3_FG001,0.140608428,-0.004871223,0.533132874,-0.009136978,0.992709848,NA
AC193767.3_FG003,0.383955441,-0.198435551,0.622732085,-0.318653167,0.749989532,NA
AC193786.3_FG005,4.522850478,0.451495408,0.955621496,0.472462591,0.636596637,0.814412675
AC193787.3_FG008,2.094136028,0.878554832,0.93135782,0.943305368,0.345524731,0.581802832
AC194005.3_FG004,17.3566682,-0.858885116,0.771979414,-1.112575155,0.265890936,0.497110605
AC194008.3_FG007,0.385125918,-0.099795002,0.623629549,-0.160022889,0.872863043,NA
AC194016.3_FG001,0,NA,NA,NA,NA,NA
AC194022.3_FG013,213.1500595,0.421496036,0.488785581,0.862333203,0.388504187,0.622289047
AC194022.3_FG014,0.456904194,-0.573580336,0.695262102,-0.824984325,0.40938049,NA
